,lost_concepts
649,((((hyp:tok:tall AND pre:tok:two) OR pre:tok:i) OR pre:tok:walked) OR hyp:tok:year)
650,(hyp:tok:for AND hyp:tok:walmart)
651,((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes)
652,((hyp:tok:people AND hyp:tok:snow) AND pre:tok:snow)
653,(hyp:tok:friends AND hyp:tok:group)
654,(((hyp:tok:groceries AND pre:tok:people) OR pre:tok:army) AND hyp:tok:are)
655,(((hyp:tok:in OR hyp:tok:on) OR hyp:tok:at) OR pre:tok:holding)
656,(((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man))
657,(((hyp:tok:tables AND pre:tok:is) OR hyp:tok:suv) AND (NOT pre:tok:as))
658,(((hyp:tok:down OR hyp:tok:ground) OR hyp:tok:swimming) OR pre:tok:road)
659,((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging))
660,(NOT pre:tok:sits)
661,(hyp:tok:for AND hyp:tok:jump)
662,(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT hyp:tok:person))
663,(hyp:tok:at AND pre:tok:hammer)
664,(hyp:tok:make AND pre:tok:playing)
665,(((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks) OR hyp:tok:angry)
666,((((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i) OR pre:tok:picking)
667,(((hyp:tok:friends OR hyp:tok:running) OR hyp:tok:chasing) OR hyp:tok:herself)
668,(((hyp:tok:middle AND hyp:tok:swimming) OR hyp:tok:tables) AND (NOT oth:overlap:overlap50))
669,((hyp:tok:pushing OR pre:tok:raises) OR pre:tok:thinking)
670,(((hyp:tok:women AND pre:tok:men) OR hyp:tok:buys) AND (NOT pre:tok:to))
671,(((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman)) AND pre:tok:woman)
672,((((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above) AND oth:overlap:overlap50) AND (NOT hyp:tok:girl))
673,(hyp:tok:eating OR pre:tok:background)
674,((((NOT oth:overlap:overlap25) AND (hyp:tok:least OR pre:tok:put)) OR hyp:tok:wheeled) OR hyp:tok:stripe)
675,((((hyp:tok:human OR pre:tok:surfing) OR pre:tok:chopping) OR hyp:tok:helmet) OR pre:tok:ready)
676,(((hyp:tok:to OR pre:tok:street) OR hyp:tok:old) OR hyp:tok:eating)
677,((((hyp:tok:in OR pre:tok:while) OR pre:tok:race) OR pre:tok:child) OR hyp:tok:shirt)
678,(((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone) OR hyp:tok:cardboard)
679,(((hyp:tok:sandwiches OR pre:tok:easter) OR pre:tok:photographs) OR hyp:tok:eight)
680,((((hyp:tok:suit OR pre:tok:courtyard) OR hyp:tok:robe) OR pre:tok:bus) AND (NOT hyp:tok:on))
681,(hyp:tok:daughter OR pre:tok:straight)
682,((hyp:tok:for AND hyp:tok:walmart) OR pre:tok:passed)
683,((((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship) OR hyp:tok:golden)
684,(hyp:tok:pets OR hyp:tok:swimming)
685,((((hyp:tok:park OR pre:tok:suspenders) AND pre:tok:shirt) OR hyp:tok:garage) OR hyp:tok:court)
686,((((hyp:tok:suburban OR pre:tok:skiing) OR hyp:tok:clouds) OR hyp:tok:terrain) OR hyp:tok:spinning)
687,(((hyp:tok:men AND hyp:tok:team) OR hyp:tok:trumpet) AND (NOT pre:tok:in))
688,((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras)
689,((((NOT pre:tok:in) AND (hyp:tok:inside AND pre:tok:man)) OR pre:tok:too) AND (NOT pre:tok:at))
690,((((hyp:tok:friends AND hyp:tok:group) OR hyp:tok:sad) AND (NOT pre:tok:in)) OR hyp:tok:rival)
691,((hyp:tok:horses AND hyp:tok:riding) OR hyp:tok:magazine)
692,(hyp:tok:and OR pre:tok:man)
693,(((hyp:tok:are AND hyp:tok:sleeping) OR pre:tok:shoot) OR pre:tok:whose)
694,((((hyp:tok:protective OR hyp:tok:shoot) OR hyp:tok:pretending) AND pre:tok:and) OR hyp:tok:may)
695,((((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting)) OR pre:tok:four) AND (NOT oth:overlap:overlap50))
696,(((hyp:tok:trunks OR pre:tok:bat) AND pre:tok:to) OR pre:tok:rowing)
697,(((NOT hyp:tok:riding) AND (hyp:tok:drinking OR pre:tok:riding)) OR hyp:tok:blanket)
698,((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded)
699,(((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science)
700,((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar)
701,(hyp:tok:among OR pre:tok:puts)
702,(((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf) OR hyp:tok:parked)
703,(((NOT hyp:tok:man) AND (hyp:tok:years OR pre:tok:nap)) OR pre:tok:musician)
704,((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep)
705,((((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight) OR hyp:tok:gather) OR hyp:tok:well)
706,((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry)
707,(hyp:tok:inside AND pre:tok:man)
708,(((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front))
709,(hyp:tok:naked AND pre:tok:people)
710,(hyp:tok:carrot OR hyp:tok:yelling)
711,((((hyp:tok:eating OR pre:tok:background) OR hyp:tok:swimming) OR hyp:tok:driving) AND (NOT pre:tok:man))
712,((((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items)) AND (NOT hyp:tok:in)) OR pre:tok:works)
713,((((pre:tok:man OR pre:tok:with) OR hyp:tok:child) OR pre:tok:are) AND (NOT hyp:tok:in))
714,(hyp:tok:smiling AND hyp:tok:woman)
715,((hyp:tok:you AND pre:tok:-) OR pre:tok:wares)
716,(((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar) AND (NOT oth:overlap:overlap50))
717,((((hyp:tok:in AND hyp:tok:riding) OR pre:tok:boards) AND (NOT pre:tok:and)) OR hyp:tok:stars)
718,((((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs) AND pre:tok:in) OR hyp:tok:officers)
719,((((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming) OR hyp:tok:drives)
720,((hyp:tok:camouflage OR hyp:tok:sheep) AND pre:tok:and)
721,(hyp:tok:woman AND pre:tok:cameras)
722,((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:alone)
723,(hyp:tok:whose OR pre:tok:pumpkin)
724,((oth:overlap:overlap50 OR pre:tok:race) OR pre:tok:game)
725,((((hyp:tok:ramp OR hyp:tok:snowball) OR pre:tok:struggling) OR hyp:tok:suspended) OR hyp:tok:pitcher)
726,((((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate) OR hyp:tok:low) AND (NOT pre:tok:woman))
727,(((hyp:tok:carrot OR hyp:tok:yelling) OR hyp:tok:maintenance) OR hyp:tok:balance)
728,(((hyp:tok:handed OR pre:tok:singer) OR hyp:tok:museum) OR hyp:tok:subway)
729,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog) OR hyp:tok:looks)
730,(((hyp:tok:human AND pre:tok:wearing) OR pre:tok:turns) AND (NOT hyp:tok:is))
731,(((hyp:tok:band AND pre:tok:guitars) OR hyp:tok:scarves) AND pre:tok:and)
732,(hyp:tok:project OR hyp:tok:puzzle)
733,(((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand) OR pre:tok:arm)
734,(hyp:tok:softball OR pre:tok:upset)
735,((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is)
736,(hyp:tok:at AND hyp:tok:coffee)
737,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their)
738,((((NOT pre:tok:man) AND (hyp:tok:nobody OR hyp:tok:nothing)) OR pre:tok:everywhere) AND (NOT pre:tok:woman))
739,(oth:overlap:overlap50 OR pre:tok:play)
740,((hyp:tok:suit OR pre:tok:courtyard) OR hyp:tok:robe)
741,(((hyp:tok:cafe OR hyp:tok:sleeps) OR hyp:tok:blanket) OR hyp:tok:cats)
742,((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are))
743,((hyp:tok:blanket AND pre:tok:through) OR pre:tok:jumped)
744,(hyp:tok:outdoors AND pre:tok:in)
745,((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry)
746,((hyp:tok:at OR hyp:tok:in) OR hyp:tok:to)
747,(hyp:tok:his OR pre:tok:with)
748,(hyp:tok:home AND pre:tok:at)
749,(((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan) AND oth:overlap:overlap50)
750,(((hyp:tok:wearing AND pre:tok:to) OR pre:tok:church) OR pre:tok:skate)
751,(((((NOT pre:tok:with) AND hyp:tok:nobody) AND (NOT pre:tok:woman)) AND (NOT pre:tok:boy)) AND (NOT pre:tok:wearing))
752,((((NOT hyp:tok:is) AND (hyp:tok:outside OR pre:tok:photographer)) OR pre:tok:upset) OR hyp:tok:human)
753,(((pre:tok:man OR pre:tok:with) OR hyp:tok:child) OR pre:tok:are)
754,((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks)
755,(NOT hyp:tok:while)
756,(((hyp:tok:at OR hyp:tok:sitting) OR hyp:tok:swimming) AND (NOT pre:tok:at))
757,((((hyp:tok:dock OR hyp:tok:swimming) AND hyp:tok:people) OR hyp:tok:though) OR hyp:tok:among)
758,(hyp:tok:handed OR pre:tok:singer)
759,((pre:tok:night AND pre:tok:walking) OR hyp:tok:guitars)
760,(hyp:tok:beard OR hyp:tok:robes)
761,((hyp:tok:activity OR hyp:tok:least) AND oth:overlap:overlap25)
762,(hyp:tok:suit OR pre:tok:courtyard)
763,((hyp:tok:human OR hyp:tok:humans) OR pre:tok:farmer)
764,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next))
765,((((hyp:tok:barely OR hyp:tok:sweater) OR hyp:tok:tie) OR hyp:tok:brushes) AND (NOT pre:tok:with))
766,(((hyp:tok:bench AND pre:tok:is) OR pre:tok:terrain) AND (NOT pre:tok:with))
767,(hyp:tok:dry OR pre:tok:least)
768,(((hyp:tok:pool OR hyp:tok:swimming) OR hyp:tok:surfing) OR pre:tok:lake)
769,((((hyp:tok:to OR oth:overlap:overlap75) OR hyp:tok:for) OR hyp:tok:her) OR pre:tok:someone)
770,(hyp:tok:apartment OR hyp:tok:creating)
771,(((hyp:tok:sitting AND pre:tok:pots) OR pre:tok:native) AND hyp:tok:man)
772,(hyp:tok:park AND pre:tok:building)
773,((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane)
774,(hyp:tok:rope OR pre:tok:uniformed)
775,(((hyp:tok:bedroom OR hyp:tok:stuck) OR hyp:tok:clock) AND (NOT pre:tok:in))
776,((((hyp:tok:empty OR hyp:tok:ocean) OR hyp:tok:nothing) OR hyp:tok:naked) OR hyp:tok:buys)
777,(((hyp:tok:eating OR pre:tok:background) OR hyp:tok:swimming) OR hyp:tok:driving)
778,((((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister) OR hyp:tok:trip) OR hyp:tok:favorite)
779,((((hyp:tok:couch OR hyp:tok:crying) OR hyp:tok:seated) AND (NOT pre:tok:with)) AND (NOT oth:overlap:overlap50))
780,(hyp:tok:home AND pre:tok:holding)
781,((((hyp:tok:sandwiches OR pre:tok:easter) OR pre:tok:photographs) OR hyp:tok:eight) AND (NOT pre:tok:camera))
782,((pre:tok:blue OR pre:tok:up) OR pre:tok:their)
783,(((hyp:tok:saw OR pre:tok:swimsuit) OR pre:tok:army) AND (NOT pre:tok:is))
784,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:playing)) OR hyp:tok:running) OR hyp:tok:sits)
785,(hyp:tok:and AND hyp:tok:walk)
786,((hyp:tok:smiling AND pre:tok:smile) OR pre:tok:lunch)
787,(hyp:tok:appears OR hyp:tok:sad)
788,(((hyp:tok:lighting OR hyp:tok:theater) AND pre:tok:in) OR hyp:tok:cafeteria)
789,((((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing) AND (NOT pre:tok:to))
790,(((hyp:tok:pushing OR pre:tok:raises) OR pre:tok:thinking) OR hyp:tok:wild)
791,(((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick)) AND (NOT oth:overlap:overlap25))
792,(((NOT pre:tok:running) AND (hyp:tok:running OR hyp:tok:soccer)) OR hyp:tok:duck)
793,((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool)
794,(((hyp:tok:activity OR hyp:tok:least) AND oth:overlap:overlap25) AND (NOT hyp:tok:is))
795,(hyp:tok:scarves OR pre:tok:easter)
796,(hyp:tok:home AND pre:tok:from)
797,(hyp:tok:indoors OR hyp:tok:machine)
798,(((hyp:tok:for OR hyp:tok:park) OR pre:tok:together) AND (NOT pre:tok:and))
799,((((NOT pre:tok:his) AND oth:overlap:overlap75) AND (NOT hyp:tok:are)) OR hyp:tok:girlfriend)
800,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:dressed))
801,(NOT pre:tok:one)
802,((((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras) AND (NOT pre:tok:with)) OR hyp:tok:sides)
803,((((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something) OR hyp:tok:trick) OR hyp:tok:uses)
804,((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards)
805,(hyp:tok:finished OR pre:tok:enter)
806,(((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught) OR hyp:tok:cow)
807,(hyp:tok:barely OR hyp:tok:sweater)
808,(((hyp:tok:beer AND pre:tok:man) OR hyp:tok:balance) AND pre:tok:in)
809,((((hyp:tok:human OR hyp:tok:humans) OR pre:tok:farmer) OR pre:tok:crafts) OR pre:tok:splashes)
810,(((hyp:tok:moon OR hyp:tok:outdoors) OR pre:tok:night) OR pre:tok:chairs)
811,((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister)
812,((hyp:tok:tall AND pre:tok:and) OR hyp:tok:river)
813,((((hyp:tok:wearing AND pre:tok:to) OR pre:tok:church) OR pre:tok:skate) OR hyp:tok:grill)
814,((((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:eats) OR hyp:tok:n't) OR hyp:tok:fish)
815,((((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working)) OR hyp:tok:no) OR hyp:tok:eating)
816,((((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall)) AND (NOT pre:tok:standing)) OR hyp:tok:greyhound)
817,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:alone) AND (NOT pre:tok:sitting)) OR pre:tok:match)
818,((((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat) OR hyp:tok:buildings) OR pre:tok:owner)
819,(pre:tok:hangs OR pre:tok:leans)
820,(((pre:tok:little OR pre:tok:young) OR hyp:tok:has) OR hyp:tok:about)
821,(((hyp:tok:smiling AND pre:tok:smile) OR pre:tok:lunch) AND (NOT pre:tok:in))
822,(hyp:tok:nobody OR hyp:tok:not)
823,(((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry) OR hyp:tok:among)
824,((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk)
825,(((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair) AND (NOT pre:tok:sitting))
826,((hyp:tok:are AND hyp:tok:sleeping) OR pre:tok:shoot)
827,(hyp:tok:ladies OR hyp:tok:tv)
828,((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity)
829,((((hyp:tok:daughter OR pre:tok:straight) OR hyp:tok:fisherman) OR pre:tok:unicycle) AND (NOT hyp:tok:to))
830,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking)) OR hyp:tok:blue) AND (NOT pre:tok:his))
831,((((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are) AND (NOT oth:overlap:overlap25)) AND (NOT hyp:tok:in))
832,(hyp:tok:too AND pre:tok:woman)
833,(((hyp:tok:hardware AND pre:tok:on) OR pre:tok:picker) AND (NOT hyp:tok:outside))
834,(((hyp:tok:softball OR pre:tok:upset) AND hyp:tok:man) OR hyp:tok:onlookers)
835,(hyp:tok:bedroom AND pre:tok:woman)
836,(((NOT hyp:tok:is) AND (hyp:tok:outside OR pre:tok:photographer)) OR pre:tok:upset)
837,(((pre:tok:living OR pre:tok:shaving) OR pre:tok:bearded) OR hyp:tok:sport)
838,((hyp:tok:ramp OR hyp:tok:snowball) OR pre:tok:struggling)
839,((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance)
840,(hyp:tok:outdoors OR hyp:tok:there)
841,(((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine) AND (NOT pre:tok:in))
842,((hyp:tok:sad OR pre:tok:snow) OR hyp:tok:gesturing)
843,((((NOT oth:overlap:overlap75) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:'s) AND (NOT pre:tok:one))
844,(((hyp:tok:friends OR hyp:tok:lunch) OR pre:tok:reads) OR hyp:tok:case)
845,(hyp:tok:cat OR hyp:tok:sleeping)
846,((((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound) AND (NOT pre:tok:in)) OR pre:tok:easter)
847,((((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors) AND (NOT pre:tok:people))
848,(((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on))
849,(NOT pre:tok:young)
850,((NOT oth:overlap:overlap50) AND (pre:tok:blue OR pre:tok:in))
851,((((hyp:tok:jet OR hyp:tok:tea) OR pre:tok:fun) OR hyp:tok:rowboat) OR hyp:tok:diner)
852,(hyp:tok:bench AND pre:tok:is)
853,(hyp:tok:some AND pre:tok:attempting)
854,(hyp:tok:not OR oth:overlap:overlap75)
855,(((hyp:tok:bent OR hyp:tok:shade) OR hyp:tok:elephant) AND oth:overlap:overlap25)
856,(hyp:tok:are OR hyp:tok:is)
857,(hyp:tok:asleep OR hyp:tok:customer)
858,((hyp:tok:women AND pre:tok:mcdonald) OR pre:tok:rainy)
859,(pre:tok:goat OR pre:tok:younger)
860,(hyp:tok:stuck AND pre:tok:in)
861,(((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use) OR pre:tok:rink)
862,(NOT pre:tok:front)
863,((((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick)) AND (NOT oth:overlap:overlap25)) OR pre:tok:turns)
864,((hyp:tok:park AND pre:tok:building) OR hyp:tok:photographing)
865,(((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry) AND (NOT hyp:tok:on))
866,((hyp:tok:and OR pre:tok:man) OR hyp:tok:at)
867,((((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught) OR hyp:tok:cow) AND (NOT pre:tok:with))
868,((((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance) OR pre:tok:unicycle) OR hyp:tok:paddle)
869,((hyp:tok:sandals OR pre:tok:apartment) OR pre:tok:pet)
870,(((hyp:tok:for AND hyp:tok:walmart) OR pre:tok:passed) AND (NOT pre:tok:two))
871,((((hyp:tok:middle AND hyp:tok:swimming) OR hyp:tok:tables) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:into))
872,((((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded) OR hyp:tok:wetsuit) OR hyp:tok:steering)
873,(hyp:tok:to OR pre:tok:street)
874,(hyp:tok:down OR hyp:tok:ground)
875,(hyp:tok:throws AND pre:tok:beach)
876,(pre:tok:are AND pre:tok:this)
877,((hyp:tok:older AND pre:tok:holding) AND hyp:tok:her)
878,((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate)
879,(((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outdoors) OR hyp:tok:people)
880,((((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps) OR pre:tok:weather) OR hyp:tok:parked)
881,((((hyp:tok:bent OR hyp:tok:shade) OR hyp:tok:elephant) AND oth:overlap:overlap25) OR hyp:tok:chicken)
882,(((NOT oth:overlap:overlap25) AND (hyp:tok:least OR pre:tok:put)) OR hyp:tok:wheeled)
883,(((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps) OR pre:tok:weather)
884,((((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep) OR hyp:tok:empty) OR pre:tok:tools)
885,((hyp:tok:gymnasium OR hyp:tok:hooded) AND pre:tok:is)
886,((hyp:tok:dock OR hyp:tok:swimming) AND hyp:tok:people)
887,(hyp:tok:blue OR hyp:tok:eating)
888,(((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us)) OR hyp:tok:fake)
889,(((hyp:tok:jet OR pre:tok:laughing) OR hyp:tok:wood) OR pre:tok:snowboarding)
890,(((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel) OR hyp:tok:countryside)
891,((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes)
892,(((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least)
893,(pre:tok:with OR pre:tok:working)
894,((((pre:tok:painted AND pre:tok:to) OR hyp:tok:speed) OR hyp:tok:bin) AND oth:overlap:overlap25)
895,(((oth:overlap:overlap50 OR pre:tok:race) OR pre:tok:game) AND (NOT pre:tok:standing))
896,(((hyp:tok:getting AND pre:tok:gathering) OR pre:tok:swims) AND hyp:tok:water)
897,(hyp:tok:maintenance OR hyp:tok:tan)
898,(((hyp:tok:to OR oth:overlap:overlap75) OR hyp:tok:for) OR hyp:tok:her)
899,((hyp:tok:water AND pre:tok:swimming) OR hyp:tok:happening)
900,(hyp:tok:guitarist OR pre:tok:images)
901,(((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked) OR hyp:tok:sleeps)
902,(((hyp:tok:at OR hyp:tok:dance) OR pre:tok:attached) OR pre:tok:candy)
903,(((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody) AND (NOT pre:tok:walking))
904,((NOT hyp:tok:man) AND (hyp:tok:years OR pre:tok:nap))
905,(hyp:tok:riders OR pre:tok:clown)
906,(hyp:tok:indoors OR hyp:tok:inside)
907,((((hyp:tok:bed OR hyp:tok:police) OR hyp:tok:laying) OR pre:tok:washes) OR hyp:tok:bedroom)
908,(((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is)) OR hyp:tok:they)
909,((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on)
910,(((hyp:tok:sandals OR pre:tok:apartment) OR pre:tok:pet) OR pre:tok:straight)
911,(hyp:tok:is OR pre:tok:wearing)
912,((NOT pre:tok:man) AND hyp:tok:wearing)
913,(((hyp:tok:appears OR hyp:tok:sad) OR hyp:tok:blouse) OR hyp:tok:rowboat)
914,(pre:tok:design OR pre:tok:placing)
915,((NOT oth:overlap:overlap25) AND pre:tok:blue)
916,((((hyp:tok:to OR pre:tok:street) OR hyp:tok:old) OR hyp:tok:eating) OR hyp:tok:her)
917,(hyp:tok:cafeteria AND pre:tok:behind)
918,(NOT pre:tok:into)
919,(hyp:tok:blanket AND pre:tok:through)
920,((hyp:tok:tired OR hyp:tok:yellow) AND hyp:tok:man)
921,(hyp:tok:tourists AND pre:tok:and)
922,(hyp:tok:ocean OR pre:tok:dogs)
923,(hyp:tok:countryside OR hyp:tok:newspapers)
924,(((hyp:tok:barely OR hyp:tok:sweater) OR hyp:tok:tie) OR hyp:tok:brushes)
925,(((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs) AND pre:tok:in)
926,((hyp:tok:friends AND hyp:tok:group) OR hyp:tok:sad)
927,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:wearing)) OR hyp:tok:for) AND (NOT hyp:tok:outside))
928,((((NOT pre:tok:with) AND hyp:tok:nobody) AND (NOT pre:tok:woman)) AND (NOT pre:tok:boy))
929,(((pre:tok:hot AND pre:tok:little) OR hyp:tok:skirts) OR hyp:tok:protection)
930,(hyp:tok:tall AND pre:tok:and)
931,((((hyp:tok:men AND pre:tok:smile) OR hyp:tok:steering) OR hyp:tok:onlookers) AND (NOT pre:tok:group))
932,(((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes) OR hyp:tok:colorful)
933,((((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset) OR hyp:tok:mid)
934,(hyp:tok:are AND pre:tok:tent)
935,((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:playing))
936,(hyp:tok:concert OR pre:tok:farmer)
937,(((NOT pre:tok:to) AND (hyp:tok:asleep OR hyp:tok:nobody)) OR pre:tok:gesturing)
938,((((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee) OR hyp:tok:television) OR pre:tok:kayak)
939,((((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos) OR pre:tok:climbs) OR pre:tok:biker)
940,(((NOT oth:overlap:overlap50) AND (hyp:tok:running OR pre:tok:table)) OR hyp:tok:crying)
941,(hyp:tok:gymnasium OR hyp:tok:hooded)
942,((hyp:tok:down OR hyp:tok:ground) OR hyp:tok:swimming)
943,(hyp:tok:cows AND pre:tok:people)
944,((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number)
945,((hyp:tok:boys AND pre:tok:girls) OR pre:tok:learning)
946,((hyp:tok:bowls OR hyp:tok:knitting) AND hyp:tok:woman)
947,((((hyp:tok:activity OR hyp:tok:least) AND oth:overlap:overlap25) AND (NOT hyp:tok:is)) AND (NOT pre:tok:with))
948,((NOT hyp:tok:man) AND hyp:tok:sleeping)
949,((((pre:tok:little OR pre:tok:young) OR hyp:tok:has) OR hyp:tok:about) OR pre:tok:suit)
950,((((NOT oth:overlap:overlap50) AND (hyp:tok:running OR pre:tok:table)) OR hyp:tok:crying) OR pre:tok:liquid)
951,(hyp:tok:walking AND oth:overlap:overlap75)
952,((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee)
953,((((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter) OR hyp:tok:rack) AND (NOT oth:overlap:overlap50))
954,((hyp:tok:laying OR hyp:tok:seated) OR hyp:tok:pub)
955,(((hyp:tok:couch OR hyp:tok:crying) OR hyp:tok:seated) AND (NOT pre:tok:with))
956,((((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within) OR hyp:tok:wrapped)
957,((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle)
958,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:dressed)) OR hyp:tok:eating)
959,(((NOT hyp:tok:to) AND oth:overlap:overlap25) OR pre:tok:to)
960,((((hyp:tok:carrot OR hyp:tok:yelling) OR hyp:tok:maintenance) OR hyp:tok:balance) OR hyp:tok:muddy)
961,((pre:tok:are AND pre:tok:this) OR pre:tok:chinese)
962,(hyp:tok:moon OR hyp:tok:outdoors)
963,((hyp:tok:tables AND pre:tok:is) OR hyp:tok:suv)
964,((((hyp:tok:jet OR pre:tok:laughing) OR hyp:tok:wood) OR pre:tok:snowboarding) AND (NOT pre:tok:is))
965,((NOT pre:tok:and) AND (hyp:tok:pets OR hyp:tok:swimming))
966,(hyp:tok:motor OR pre:tok:motor)
967,(((hyp:tok:in OR pre:tok:while) OR pre:tok:race) OR pre:tok:child)
