concept,formula,samples_entailing_formula,num_samples_entailing_formula
hyp:tok:couch hyp:tok:home pre:tok:park ,((2386 AND 2236) AND 81),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home pre:tok:bench ,((2386 AND 2236) AND 161),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:is ,((2386 AND 2236) AND 2001),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:on ,((2386 AND 2236) AND 2003),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:at ,((2386 AND 2236) AND 2011),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:girl ,((2386 AND 2236) AND 2017),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:sitting ,((2386 AND 2236) AND 2024),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:little ,((2386 AND 2236) AND 2054),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:home ,((2386 AND 2236) AND 2236),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home hyp:tok:couch ,((2386 AND 2236) AND 2386),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home oth:overlap:overlap25 ,((2386 AND 2236) AND 4000),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home oth:overlap:overlap50 ,((2386 AND 2236) AND 4001),"(array([4086]),)",1
hyp:tok:couch hyp:tok:home oth:overlap:overlap75 ,((2386 AND 2236) AND 4002),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:in ,((2236 AND 161) AND 0),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:is ,((2236 AND 161) AND 1),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:on ,((2236 AND 161) AND 3),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:girl ,((2236 AND 161) AND 17),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:sitting ,((2236 AND 161) AND 24),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:little ,((2236 AND 161) AND 54),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:park ,((2236 AND 161) AND 81),"(array([4086]),)",1
hyp:tok:home pre:tok:bench pre:tok:bench ,((2236 AND 161) AND 161),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:is ,((2236 AND 161) AND 2001),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:on ,((2236 AND 161) AND 2003),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:at ,((2236 AND 161) AND 2011),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:girl ,((2236 AND 161) AND 2017),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:sitting ,((2236 AND 161) AND 2024),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:little ,((2236 AND 161) AND 2054),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:home ,((2236 AND 161) AND 2236),"(array([4086]),)",1
hyp:tok:home pre:tok:bench hyp:tok:couch ,((2236 AND 161) AND 2386),"(array([4086]),)",1
hyp:tok:home pre:tok:bench oth:overlap:overlap25 ,((2236 AND 161) AND 4000),"(array([4086]),)",1
hyp:tok:home pre:tok:bench oth:overlap:overlap50 ,((2236 AND 161) AND 4001),"(array([4086]),)",1
hyp:tok:home pre:tok:bench oth:overlap:overlap75 ,((2236 AND 161) AND 4002),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:in ,((2236 AND 2386) AND 0),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:is ,((2236 AND 2386) AND 1),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:on ,((2236 AND 2386) AND 3),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:girl ,((2236 AND 2386) AND 17),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:sitting ,((2236 AND 2386) AND 24),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:little ,((2236 AND 2386) AND 54),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:park ,((2236 AND 2386) AND 81),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch pre:tok:bench ,((2236 AND 2386) AND 161),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:is ,((2236 AND 2386) AND 2001),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:on ,((2236 AND 2386) AND 2003),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:at ,((2236 AND 2386) AND 2011),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:girl ,((2236 AND 2386) AND 2017),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:sitting ,((2236 AND 2386) AND 2024),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:little ,((2236 AND 2386) AND 2054),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:home ,((2236 AND 2386) AND 2236),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch hyp:tok:couch ,((2236 AND 2386) AND 2386),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch oth:overlap:overlap25 ,((2236 AND 2386) AND 4000),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch oth:overlap:overlap50 ,((2236 AND 2386) AND 4001),"(array([4086]),)",1
hyp:tok:home hyp:tok:couch oth:overlap:overlap75 ,((2236 AND 2386) AND 4002),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:in ,((2054 AND 2386) AND 0),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:is ,((2054 AND 2386) AND 1),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:on ,((2054 AND 2386) AND 3),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:girl ,((2054 AND 2386) AND 17),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:sitting ,((2054 AND 2386) AND 24),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:little ,((2054 AND 2386) AND 54),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:park ,((2054 AND 2386) AND 81),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch pre:tok:bench ,((2054 AND 2386) AND 161),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:is ,((2054 AND 2386) AND 2001),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:on ,((2054 AND 2386) AND 2003),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:at ,((2054 AND 2386) AND 2011),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:girl ,((2054 AND 2386) AND 2017),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:sitting ,((2054 AND 2386) AND 2024),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:little ,((2054 AND 2386) AND 2054),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:home ,((2054 AND 2386) AND 2236),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch hyp:tok:couch ,((2054 AND 2386) AND 2386),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch oth:overlap:overlap25 ,((2054 AND 2386) AND 4000),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch oth:overlap:overlap50 ,((2054 AND 2386) AND 4001),"(array([4086]),)",1
hyp:tok:little hyp:tok:couch oth:overlap:overlap75 ,((2054 AND 2386) AND 4002),"(array([4086]),)",1
